id;source;target;qnt_of_letters;when;volume
1;Борис Александрович Куракин;Александр Борисович Куракин;8;1763;5
2;К.И. Остен-Сакен;Александр Борисович Куракин;6;1766;5
3;Граф Никита Иванович Панин;Александр Борисович Куракин;3;1766;5
4;Граф Сальдерн;Александр Борисович Куракин;1;1766;5
5;К.И. Остен-Сакен;Александр Борисович Куракин;4;1767;5
6;Александр Борисович Куракин;Цесаревич Павел Петрович;1;1767;5
7;К.И. Остен-Сакен;Александр Борисович Куракин;1;1768;5
8;Герцог Меклембургский Эрнест;Александр Борисович Куракин;7;1768;5
9;Герцог Меклембургский Эрнест;Александр Борисович Куракин;1;1769;5
10;Граф Петр Иванович Панин;Александр Борисович Куракин;2;1769;5
11;Княжна Аграфена Александровна Куракина;Александр Борисович Куракин;4;1769;5
12;Князь Николай Васильевич Репнин;Александр Борисович Куракин;1;1769;5
13;Княгиня Александра Ивановна Куракина;Александр Борисович Куракин;1;1769;5
14;Княжна Аграфена Александровна Куракина;Александр Борисович Куракин;5;1770;6
15;Вильнёф;Александр Борисович Куракин;2;1770;6
16;Александр Борисович Куракин;Граф Никита Иванович Панин;2;1770;6
17;И.И. Крок;Александр Борисович Куракин;1;1770;6
18;Александр Борисович Куракин;Цесаревич Павел Петрович;1;1770;6
19;Княгиня Наталья Александровна Репнина;Александр Борисович Куракин;1;1770;6
20;Аграфена Леонтьевна Апраксина;Александр Борисович Куракин;1;1770;6
21;Александр Борисович Куракин;Неизвестный;1;1770;6
22;Александр Борисович Куракин;Княгиня Александра Ивановна Куракина;1;1770;6
23;Княгиня Александра Ивановна Куракина;Александр Борисович Куракин;1;1771;6
24;С.С. Апраксин;Александр Борисович Куракин;1;1771;6
25;Княжна Аграфена Александровна Куракина;Александр Борисович Куракин;3;1771;6
26;Герцог Меклембургский Эрнест;Александр Борисович Куракин;7;1771;6
27;Граф Петр Иванович Панин;Александр Борисович Куракин;1;1771;6
