id;name;date_of_birth;IsExactDateB;date_of_death;IsExactDateD;birthplace;country_of_birth;deathplace;country_of_death
1;Александр Борисович Куракин;29.01.1752;1;06.07.1818;1;Москва;Россия;Веймар;Германия
2;Борис Александрович Куракин;22.06.1733;1;04.12.1764;1;Москва;Россия;Москва;Россия
3;К.И. Остен-Сакен;17.04.1733;1;05.02.1808;1;Эзельский уезд;Эстония;Кирна;Эстония
4;Граф Никита Иванович Панин;29.11.1718;1;11.04.1783;1;Данцин;Польша;Санк-Петербург;Россия
5;Граф Сальдерн;11.07.1711;1;31.10.1786;1;Оберно;Дания;Ширензее;Германия
6;Герцог Меклембургский Эрнест;27.08.1742;1;27.01.1814;1;Миров;Германия;Нойштрелиц;Германия
7;Граф Петр Иванович Панин;01.01.1721;0;26.04.1789;1;Вязовна;Россия;Москва;Россия
8;Княжна Аграфена Александровна Куракина;01.01.1734;0;01.01.1791;0;Москва;Россия;Москва;Россия
9;Княгиня Александра Ивановна Куракина;14.02.1711;1;22.02.1786;1;Москва;Россия;Москва;Россия
10;Княгиня Наталья Александровна Репнина;20.04.1737;1;05.12.1798;1;Москва;Россия;Вильнюс;Литва
11;Аграфена Леонтьевна Апраксина;01.01.1719;0;28.10.1771;1;;;Санк-Петербург;Россия
12;С.С. Апраксин;13.07.1757;1;08.02.1827;1;Рига;Латвия;Москва;Россия
13;Профессор Пестель;05.07.1793;1;25.07.1826;1;Москва;Россия;Санк-Петербург;Россия
14;Граф Александр Семенович Мусин-Пушкин;01.01.1747;0;14.01.1819;1;;;;
15;Графиня Мария Родионовна Панина;01.01.1746;0;04.05.1775;1;Харьков;Украина;Ахтырка;Украина
16;Граф Петр Борисович Шереметьев;09.05.1713;1;11.12.1788;1;Рославль;Россия;Придуки;Украина
17;Ландграф гессен-кассельский Георг;08.01.1691;1;05.03.1755;1;Кассель;Германия;Кассель;Германия
18;Н.К. Хотинский;01.01.1727;0;01.01.1811;0;;;;
19;Князь Николай Васильевич Репнин;22.03.1734;1;24.05.1801;1;Санкт-Петербург;Россия;Воронцово;Россия
20;Ольдекоп;06.01.1776;1;13.06.1831;1;;;Дубровно;Белоруссия
21;Барон Лефорт;04.09.1719;1;01.01.1796;0;Париж;Франция;;
22;Графиня Кейзерлинг;01.01.1724;0;01.01.1791;0;Кенигсберг;Россия;Кенигсберг;Россия
23;Георг-Карл ландграф Гессен-Дармштадский;14.06.1754;1;28.01.1830;1;Дармштадт;Германия;Штраусберг;Германия
24;Князь А.А. Лобанов-Ростовский;30.03.1787;1;26.10.1848;1;;;Москва;Россия
25;Князь Степан Куракин;20.07.1754;1;20.07.1805;1;Москва;Россия;Москва;Россия
26;Барон Г.Н. Строганов;30.09.1730;1;02.03.1777;1;Москва;Россия;Москва;Россия
27;Князь Алексей Куракин;19.09.1759;1;30.12.1829;1;;Россия;Куракино;Россия
28;Граф Н.П. Румянцев;14.04.1754;1;15.01.1826;1;Стряпково ;Россия;Санк-Петербург;Россия
29;Граф С.В. Салтыков;01.01.1722;0;24.09.1784;1;;Россия;Москва;Россия
30;Н.Н. Бантыш-Каменский;27.12.1737;1;01.02.1814;1;Нежин;Украина;Москва;Россия
31;П.А. Левашов;19.08.1763;1;25.09.1768;1;;Россия;Москва;Россия
32;Князь Н.Б. Юсупов;26.10.1750;1;15.07.1831;1;Москва;Россия;Москва;Россия
33;Княгиня Е.Р. Дашкова;28.03.1743;1;16.01.1810;1;Санкт-Петербург;Россия;Москва;Россия
